rating_1,rating_2,count,fillc,freq
5,5,73734,Rates Books the Same,73.734
5,4,29592,Rates Book 1 Better,29.592
5,3,8726,Rates Book 1 Better,8.726
5,2,1504,Rates Book 1 Better,1.504
5,1,322,Rates Book 1 Better,0.322
4,5,17546,Rates Book 2 Better,17.546
4,4,55121,Rates Books the Same,55.121
4,3,20732,Rates Book 1 Better,20.732
4,2,2608,Rates Book 1 Better,2.608
4,1,436,Rates Book 1 Better,0.436
3,5,4402,Rates Book 2 Better,4.402
3,4,12834,Rates Book 2 Better,12.834
3,3,23260,Rates Books the Same,23.26
3,2,4086,Rates Book 1 Better,4.086
3,1,486,Rates Book 1 Better,0.486
2,5,675,Rates Book 2 Better,0.675
2,4,1280,Rates Book 2 Better,1.28
2,3,2489,Rates Book 2 Better,2.489
2,2,3176,Rates Books the Same,3.176
2,1,573,Rates Book 1 Better,0.573
1,5,157,Rates Book 2 Better,0.157
1,4,220,Rates Book 2 Better,0.22
1,3,248,Rates Book 2 Better,0.248
1,2,415,Rates Book 2 Better,0.415
1,1,975,Rates Books the Same,0.975
